"NUCLEO_ID","NUCLEO_NOMBRE","NUCLEO_ACRONIMO","NUCLEO_VIGENTE","NUCLEO_NIVEL","NUCLEO_ESTADO_REGISTRO"
"20","COMANDO DE PERSONAL DEL EJERCITO","COPERE","1",1,1
"21","COMANDO DE LOGISTICA DEL EJERCITO","COLOGE","1",0,1
"22","COMANDO DE EDUCACION Y DOCTRINA DEL EJERCITO","COEDE","1",0,1
"32","COMANDO DE SALUD DEL EJERCITO","COSALE","1",0,1
"33","CIBERDEFENSA Y TELEMATICA DEL EJERCITO","CITELE","1",0,1
"41","I DIVISION DE EJERCITO","I DIV EJTO","1",1,1
"42","II DIVISION DE EJERCITO","II DIV EJTO","1",0,1
"43","III DIVISION DE EJERCITO","III DIV EJTO","1",0,1
"44","IV DIVISION DE EJERCITO","IV DIV EJTO","1",0,1
"45","V DIVISION DE EJERCITO","V DIV EJTO","1",0,1
"46","AVIACION DEL EJERCITO","A E","1",0,1
"47","COMANDO GENERAL DE APOYO DEL EJERCITO","COGAE","1",1,1
"52","COMANDO DE OPERACIONES TERRESTRES DEL EJERCITO","COTE","1",0,1
"53","COMANDO DE BIENESTAR DEL EJERCITO","COBIENE","1",0,1
"56","COMANDO DE APOYO AL DESARROLLO NACIONAL DEL EJERCITO","COADNE","1",0,1
"57","DIRECCION DE INTELIGENCIA DEL EJERCITO","DIE","1",0,1
"58","OFICINA DE INFORMACIONES DEL EJERCITO","OIE","1",0,1
